id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
43,Female,40,1,39.0,0,1-2 Year,Yes,2630.0,26.0,267,0
44,Female,41,1,28.0,0,1-2 Year,Yes,38068.0,124.0,182,0
45,Female,59,1,28.0,0,1-2 Year,Yes,42407.0,157.0,149,0
46,Female,23,1,28.0,1,< 1 Year,No,44481.0,152.0,84,0
47,Female,22,1,50.0,0,< 1 Year,Yes,34532.0,160.0,241,0
48,Male,48,1,28.0,0,1-2 Year,Yes,31000.0,26.0,36,1
49,Male,39,1,48.0,0,1-2 Year,Yes,2630.0,124.0,259,0
50,Female,35,1,9.0,1,1-2 Year,No,31897.0,152.0,121,0
51,Male,55,1,28.0,0,1-2 Year,Yes,37852.0,163.0,207,0
52,Female,23,1,13.0,0,< 1 Year,Yes,2630.0,152.0,161,0
53,Female,28,1,13.0,1,< 1 Year,No,22123.0,152.0,86,0
54,Female,46,1,0.0,1,1-2 Year,No,2630.0,26.0,186,0
55,Male,50,1,3.0,1,1-2 Year,No,33057.0,26.0,285,0
56,Female,44,1,41.0,0,1-2 Year,Yes,39284.0,124.0,137,0
57,Female,61,1,46.0,0,1-2 Year,Yes,2630.0,154.0,136,0
58,Female,56,1,26.0,0,1-2 Year,Yes,26699.0,124.0,75,0
59,Male,36,1,25.0,1,1-2 Year,No,21040.0,152.0,42,0
60,Male,39,1,46.0,1,1-2 Year,No,20705.0,26.0,130,0
61,Female,29,1,46.0,0,< 1 Year,Yes,21903.0,124.0,51,1
62,Female,69,1,27.0,1,1-2 Year,No,30283.0,26.0,100,0
63,Male,22,1,24.0,0,< 1 Year,Yes,21671.0,152.0,209,1
64,Male,46,1,8.0,0,1-2 Year,Yes,26184.0,124.0,150,0
65,Female,44,1,46.0,0,1-2 Year,Yes,2630.0,94.0,99,0
66,Female,24,1,21.0,0,< 1 Year,No,25333.0,152.0,123,0
67,Female,50,1,41.0,0,1-2 Year,Yes,38066.0,26.0,17,1
68,Male,25,1,30.0,0,1-2 Year,Yes,42791.0,124.0,21,0
69,Female,26,1,22.0,1,< 1 Year,No,65819.0,152.0,260,0
70,Female,27,1,6.0,1,< 1 Year,No,26916.0,152.0,188,0
71,Male,49,1,28.0,0,1-2 Year,Yes,38680.0,124.0,193,1
72,Female,62,1,29.0,0,1-2 Year,Yes,2630.0,26.0,282,1
73,Female,46,1,50.0,1,1-2 Year,No,32522.0,26.0,138,0
74,Female,55,1,28.0,0,1-2 Year,Yes,57499.0,26.0,57,1
75,Female,31,1,36.0,0,< 1 Year,Yes,28861.0,152.0,116,0
76,Male,21,1,38.0,0,< 1 Year,Yes,26501.0,160.0,27,0
77,Male,22,1,6.0,1,1-2 Year,No,24026.0,124.0,51,0
78,Female,22,1,21.0,1,< 1 Year,No,30964.0,152.0,174,0
79,Female,23,1,16.0,1,< 1 Year,No,22478.0,152.0,178,0
80,Male,43,1,28.0,0,1-2 Year,Yes,50361.0,124.0,42,0
81,Male,55,1,28.0,0,1-2 Year,Yes,32357.0,122.0,36,0
82,Male,66,1,28.0,1,1-2 Year,No,44132.0,124.0,56,0
83,Male,47,1,28.0,1,1-2 Year,Yes,44922.0,26.0,135,0
84,Male,41,1,33.0,0,1-2 Year,Yes,28101.0,124.0,37,1
85,Female,29,1,3.0,0,< 1 Year,Yes,41816.0,152.0,177,0
86,Male,38,1,11.0,0,1-2 Year,Yes,25365.0,124.0,228,0
87,Female,41,1,50.0,0,1-2 Year,Yes,35691.0,8.0,280,0
88,Male,43,1,12.0,0,1-2 Year,No,63213.0,26.0,47,0
89,Male,32,1,28.0,0,< 1 Year,Yes,48225.0,124.0,36,0
90,Female,25,1,32.0,0,< 1 Year,Yes,33821.0,152.0,25,0
91,Female,50,1,29.0,1,1-2 Year,No,2630.0,26.0,266,0
92,Female,65,1,28.0,1,1-2 Year,No,36106.0,124.0,286,0
93,Male,25,1,33.0,1,< 1 Year,No,24167.0,152.0,171,0
94,Female,30,1,36.0,0,< 1 Year,No,30886.0,152.0,259,0
95,Female,42,1,8.0,0,1-2 Year,Yes,2630.0,26.0,169,0
96,Female,27,1,7.0,1,< 1 Year,Yes,2630.0,160.0,169,0
97,Female,31,1,14.0,1,< 1 Year,No,16554.0,152.0,181,0
98,Male,57,1,28.0,0,> 2 Years,Yes,26051.0,26.0,114,1
99,Male,25,1,14.0,0,< 1 Year,Yes,26238.0,152.0,26,0
100,Male,41,1,39.0,0,1-2 Year,Yes,2630.0,124.0,20,0
101,Male,46,1,28.0,0,1-2 Year,No,64132.0,26.0,83,0
102,Male,25,1,41.0,1,< 1 Year,No,24305.0,152.0,268,0
103,Female,28,1,34.0,1,< 1 Year,Yes,2630.0,26.0,105,0
104,Female,59,1,35.0,0,1-2 Year,Yes,2630.0,26.0,81,0
105,Female,35,1,19.0,0,1-2 Year,Yes,24792.0,124.0,226,0
106,Male,46,1,28.0,0,1-2 Year,Yes,35611.0,124.0,42,0
107,Female,23,1,2.0,0,1-2 Year,Yes,38479.0,124.0,295,0
108,Male,43,1,41.0,0,1-2 Year,Yes,2630.0,109.0,228,1
109,Male,23,1,32.0,1,< 1 Year,No,27431.0,152.0,63,0
110,Male,62,1,28.0,0,1-2 Year,Yes,38052.0,124.0,82,1
111,Male,47,1,28.0,0,1-2 Year,Yes,45570.0,26.0,171,1
112,Female,22,1,28.0,0,< 1 Year,Yes,48436.0,26.0,293,0
113,Female,22,1,49.0,1,< 1 Year,No,15868.0,152.0,271,0
114,Male,48,1,8.0,0,1-2 Year,Yes,41147.0,124.0,150,0
115,Male,80,1,15.0,1,1-2 Year,No,28159.0,124.0,270,0
116,Male,52,1,41.0,0,1-2 Year,Yes,40812.0,26.0,287,0
117,Female,23,1,37.0,1,< 1 Year,No,53087.0,151.0,200,0
118,Female,29,1,32.0,0,< 1 Year,Yes,2630.0,154.0,24,1
119,Male,49,1,48.0,0,1-2 Year,Yes,2630.0,26.0,92,0
120,Male,53,1,17.0,0,1-2 Year,Yes,43192.0,124.0,202,0
121,Male,21,1,33.0,1,< 1 Year,No,2630.0,152.0,293,0
122,Male,25,1,21.0,0,< 1 Year,Yes,26852.0,152.0,70,1
123,Female,21,1,8.0,1,< 1 Year,No,29633.0,160.0,69,0
124,Female,21,1,45.0,1,< 1 Year,No,24576.0,160.0,77,0
125,Male,48,1,28.0,0,1-2 Year,Yes,35552.0,124.0,266,0
126,Male,66,1,8.0,1,1-2 Year,No,46327.0,19.0,49,0
127,Female,67,1,8.0,0,1-2 Year,Yes,55025.0,26.0,41,1
128,Male,30,1,41.0,0,1-2 Year,Yes,22460.0,154.0,173,0
129,Female,74,1,8.0,0,1-2 Year,Yes,30312.0,124.0,46,0
130,Female,30,1,21.0,1,< 1 Year,No,32979.0,152.0,255,0
131,Male,29,1,37.0,0,< 1 Year,Yes,2630.0,152.0,169,1
132,Male,30,1,29.0,1,< 1 Year,No,17010.0,152.0,23,0
133,Male,40,1,46.0,0,1-2 Year,Yes,26008.0,124.0,168,0
134,Male,39,1,1.0,0,1-2 Year,No,2630.0,26.0,205,0
135,Male,39,1,36.0,1,1-2 Year,No,32247.0,26.0,251,0
136,Female,38,1,33.0,0,1-2 Year,Yes,25841.0,26.0,100,0
137,Female,51,1,28.0,1,1-2 Year,No,75524.0,26.0,279,0
138,Female,38,1,34.0,0,1-2 Year,Yes,36248.0,124.0,49,0
139,Male,47,1,28.0,0,1-2 Year,Yes,25806.0,124.0,49,1
140,Male,48,1,3.0,1,1-2 Year,No,32559.0,124.0,114,0
141,Male,40,1,28.0,0,1-2 Year,Yes,37841.0,124.0,114,0
142,Male,60,1,28.0,0,1-2 Year,Yes,45499.0,124.0,212,0
143,Female,25,1,14.0,1,< 1 Year,No,25797.0,152.0,161,0
144,Female,24,1,46.0,0,1-2 Year,Yes,32004.0,154.0,92,0
145,Female,37,1,45.0,0,1-2 Year,Yes,24729.0,124.0,280,1
146,Male,47,1,30.0,0,> 2 Years,Yes,25539.0,124.0,103,0
147,Female,24,1,49.0,0,< 1 Year,Yes,32981.0,152.0,17,0
148,Male,45,1,28.0,1,1-2 Year,No,23585.0,26.0,37,0
149,Male,20,1,24.0,0,< 1 Year,Yes,25512.0,160.0,18,0
150,Female,24,1,46.0,1,< 1 Year,No,25173.0,152.0,173,0
151,Male,24,1,23.0,1,< 1 Year,No,40400.0,152.0,81,0
152,Male,34,1,28.0,0,1-2 Year,Yes,33380.0,124.0,119,0
153,Male,25,1,41.0,1,< 1 Year,Yes,44896.0,152.0,281,0
154,Female,22,1,49.0,0,< 1 Year,Yes,33907.0,152.0,214,0
155,Female,23,1,45.0,1,< 1 Year,No,21570.0,152.0,85,0
156,Male,50,1,28.0,0,1-2 Year,Yes,39184.0,124.0,260,1
157,Male,21,1,33.0,0,< 1 Year,No,49196.0,152.0,178,0
158,Male,65,1,28.0,0,1-2 Year,Yes,31617.0,26.0,28,0
159,Female,24,1,28.0,1,< 1 Year,No,46988.0,152.0,286,0
160,Male,52,1,14.0,1,1-2 Year,No,38085.0,124.0,281,0
161,Male,26,1,18.0,0,< 1 Year,Yes,35447.0,152.0,169,1
162,Female,25,1,36.0,0,< 1 Year,No,33920.0,26.0,195,0
163,Male,22,1,8.0,0,< 1 Year,Yes,30415.0,160.0,135,0
164,Female,46,1,13.0,0,1-2 Year,Yes,24184.0,124.0,159,1
165,Male,49,1,28.0,0,1-2 Year,Yes,2630.0,26.0,90,0
166,Female,26,1,32.0,1,< 1 Year,No,31852.0,152.0,224,0
167,Male,23,1,28.0,0,< 1 Year,Yes,79746.0,26.0,185,0
168,Male,23,1,17.0,1,< 1 Year,No,2630.0,152.0,225,0
169,Male,43,1,43.0,0,1-2 Year,No,41258.0,26.0,88,0
170,Male,40,1,28.0,0,> 2 Years,Yes,2630.0,124.0,286,1
171,Female,32,1,28.0,1,< 1 Year,No,38487.0,152.0,298,0
172,Female,38,1,28.0,0,> 2 Years,Yes,76960.0,24.0,136,0
173,Male,44,1,36.0,0,1-2 Year,Yes,41271.0,124.0,242,1
174,Male,69,1,8.0,0,> 2 Years,Yes,35896.0,124.0,299,1
175,Male,23,1,45.0,1,< 1 Year,No,25547.0,152.0,67,0
176,Male,65,1,3.0,1,1-2 Year,No,31739.0,129.0,184,0
177,Male,63,1,28.0,0,1-2 Year,Yes,2630.0,156.0,102,0
178,Male,21,1,30.0,0,< 1 Year,Yes,19966.0,152.0,299,1
179,Male,55,1,28.0,0,1-2 Year,Yes,35046.0,26.0,114,0
180,Male,60,1,28.0,0,> 2 Years,Yes,40877.0,26.0,71,1
181,Male,51,1,8.0,0,> 2 Years,Yes,32761.0,26.0,118,1
182,Female,23,1,8.0,1,< 1 Year,No,30434.0,152.0,75,0
183,Female,21,1,30.0,0,< 1 Year,Yes,23019.0,152.0,259,1
184,Male,72,1,28.0,0,1-2 Year,Yes,54972.0,120.0,206,0
185,Male,22,1,15.0,1,< 1 Year,Yes,27517.0,152.0,173,0
186,Male,22,1,6.0,1,< 1 Year,No,21971.0,152.0,229,0
187,Male,30,1,15.0,0,1-2 Year,No,2630.0,157.0,246,0
188,Male,51,1,28.0,0,1-2 Year,Yes,36733.0,26.0,106,0
189,Female,43,1,37.0,0,1-2 Year,Yes,2630.0,157.0,193,0
190,Female,39,1,0.0,0,1-2 Year,Yes,2630.0,26.0,244,0
191,Male,22,1,2.0,0,< 1 Year,Yes,36924.0,152.0,226,0
192,Female,22,1,3.0,0,< 1 Year,Yes,2630.0,124.0,86,0
193,Female,22,1,11.0,1,< 1 Year,Yes,25805.0,152.0,194,0
194,Female,24,1,15.0,0,< 1 Year,No,64874.0,151.0,202,0
195,Female,24,1,8.0,1,< 1 Year,No,57696.0,152.0,159,0
196,Male,57,1,8.0,1,1-2 Year,No,31066.0,26.0,42,0
197,Male,43,1,28.0,0,1-2 Year,Yes,37313.0,124.0,109,0
198,Male,24,1,18.0,1,< 1 Year,No,33212.0,152.0,63,0
199,Female,35,1,28.0,0,1-2 Year,Yes,45242.0,156.0,88,1
200,Female,31,1,50.0,1,< 1 Year,No,34172.0,152.0,51,0
201,Male,23,1,27.0,0,< 1 Year,No,32656.0,152.0,197,0
202,Female,39,1,39.0,0,1-2 Year,Yes,2630.0,26.0,260,1
203,Male,40,1,28.0,0,> 2 Years,Yes,70988.0,124.0,152,0
204,Male,51,1,18.0,0,1-2 Year,Yes,38111.0,124.0,242,0
205,Female,22,1,15.0,1,< 1 Year,No,42881.0,152.0,85,0
206,Male,25,1,28.0,1,< 1 Year,No,32232.0,152.0,18,0
207,Male,40,1,28.0,0,1-2 Year,Yes,66403.0,122.0,299,1
208,Female,63,1,28.0,0,> 2 Years,Yes,2630.0,157.0,80,0
209,Female,25,1,30.0,0,< 1 Year,Yes,2630.0,152.0,229,0
210,Female,23,1,41.0,1,< 1 Year,No,42155.0,152.0,84,0
211,Female,22,1,46.0,0,< 1 Year,Yes,29310.0,152.0,272,0
212,Female,33,1,28.0,1,1-2 Year,No,49119.0,125.0,187,0
213,Male,26,1,50.0,1,< 1 Year,No,33705.0,152.0,206,0
214,Male,22,1,28.0,1,< 1 Year,Yes,34180.0,152.0,271,0
215,Male,58,1,8.0,0,1-2 Year,Yes,21568.0,157.0,231,1
216,Female,22,1,46.0,1,< 1 Year,No,30613.0,160.0,55,0
217,Female,46,1,32.0,0,1-2 Year,Yes,30913.0,124.0,279,0
218,Female,24,1,14.0,1,< 1 Year,No,31099.0,151.0,27,0
219,Female,76,1,50.0,0,> 2 Years,Yes,47917.0,124.0,179,0
220,Male,76,1,8.0,1,1-2 Year,No,2630.0,26.0,213,0
221,Male,47,1,35.0,0,1-2 Year,Yes,51592.0,26.0,164,0
222,Female,53,1,28.0,0,> 2 Years,Yes,54307.0,26.0,272,1
223,Female,40,1,28.0,0,1-2 Year,Yes,38304.0,124.0,147,0
224,Female,49,1,29.0,0,1-2 Year,Yes,2630.0,124.0,253,0
225,Male,44,1,28.0,0,1-2 Year,Yes,48474.0,124.0,95,0
226,Female,20,1,37.0,0,< 1 Year,Yes,20846.0,160.0,260,0
227,Male,48,1,3.0,0,1-2 Year,No,26132.0,124.0,268,0
228,Male,43,1,46.0,1,1-2 Year,No,44782.0,124.0,49,0
229,Female,25,1,18.0,0,1-2 Year,Yes,40828.0,156.0,257,0
230,Male,41,1,28.0,0,1-2 Year,Yes,34573.0,124.0,290,0
231,Male,24,1,13.0,0,< 1 Year,Yes,27922.0,152.0,221,0
232,Female,28,1,5.0,1,1-2 Year,No,2630.0,124.0,113,0
233,Male,43,1,40.0,0,1-2 Year,Yes,34231.0,163.0,292,0
234,Male,38,1,30.0,1,1-2 Year,No,35705.0,152.0,250,0
235,Male,44,1,28.0,0,1-2 Year,No,34040.0,26.0,118,0
236,Female,41,1,3.0,0,1-2 Year,Yes,2630.0,156.0,220,1
237,Male,24,1,41.0,0,< 1 Year,Yes,28089.0,152.0,156,0
238,Male,56,1,8.0,0,1-2 Year,Yes,30383.0,26.0,221,0
239,Male,65,1,14.0,0,1-2 Year,Yes,36575.0,26.0,22,0
240,Male,46,1,35.0,0,> 2 Years,Yes,31637.0,26.0,220,1
241,Male,23,1,41.0,1,< 1 Year,No,31401.0,152.0,100,0
242,Female,25,1,29.0,1,< 1 Year,No,22361.0,152.0,108,0
243,Female,23,1,34.0,0,< 1 Year,Yes,25809.0,151.0,106,0
244,Female,27,1,29.0,1,< 1 Year,No,37959.0,152.0,206,0
245,Female,39,1,51.0,0,1-2 Year,Yes,40601.0,154.0,86,0
246,Female,50,1,28.0,0,1-2 Year,Yes,47019.0,124.0,16,0
247,Male,36,1,47.0,0,1-2 Year,No,25137.0,157.0,116,0
248,Male,51,1,41.0,0,> 2 Years,Yes,35335.0,124.0,55,0
249,Female,46,1,28.0,0,1-2 Year,Yes,34812.0,26.0,208,0
250,Female,21,1,30.0,1,< 1 Year,Yes,32252.0,160.0,223,0
251,Male,57,1,29.0,0,1-2 Year,Yes,33459.0,124.0,133,0
252,Female,72,0,24.0,0,1-2 Year,Yes,32780.0,122.0,66,0
253,Female,25,1,30.0,1,< 1 Year,No,31139.0,152.0,288,0
254,Male,48,1,29.0,0,1-2 Year,Yes,30308.0,26.0,53,1
255,Male,58,1,2.0,0,> 2 Years,Yes,28305.0,26.0,145,0
256,Female,25,1,10.0,1,< 1 Year,No,43170.0,152.0,180,0
257,Female,22,1,46.0,0,< 1 Year,Yes,2630.0,26.0,93,0
258,Female,43,1,46.0,0,1-2 Year,Yes,33657.0,152.0,147,0
259,Male,24,1,7.0,1,< 1 Year,No,43194.0,152.0,296,0
260,Male,49,1,41.0,1,1-2 Year,No,51737.0,124.0,11,0
261,Female,27,1,28.0,1,< 1 Year,No,44970.0,152.0,21,0
262,Female,27,1,3.0,1,< 1 Year,No,39125.0,152.0,37,0
263,Male,46,1,29.0,1,1-2 Year,No,29129.0,26.0,288,0
264,Male,23,1,50.0,1,< 1 Year,No,32584.0,152.0,48,0
265,Male,43,1,28.0,0,1-2 Year,Yes,22872.0,124.0,210,0
266,Female,25,1,14.0,1,< 1 Year,No,25322.0,152.0,142,0
267,Male,51,1,46.0,0,1-2 Year,Yes,34781.0,124.0,153,0
268,Female,24,1,41.0,1,< 1 Year,No,33673.0,152.0,200,0
269,Female,22,1,37.0,0,< 1 Year,Yes,27475.0,152.0,283,0
270,Female,25,1,26.0,1,< 1 Year,No,2630.0,152.0,246,0
271,Female,22,1,35.0,0,< 1 Year,Yes,37357.0,160.0,136,0
272,Male,50,1,28.0,0,1-2 Year,Yes,2630.0,26.0,31,1
273,Female,46,1,28.0,0,1-2 Year,Yes,25850.0,124.0,257,0
274,Male,45,1,50.0,0,1-2 Year,Yes,31839.0,124.0,47,0
275,Male,42,1,5.0,0,1-2 Year,Yes,23286.0,124.0,19,0
276,Male,59,1,28.0,0,1-2 Year,No,33574.0,26.0,72,0
277,Male,23,1,46.0,0,< 1 Year,Yes,23478.0,152.0,111,0
278,Male,49,1,11.0,0,1-2 Year,Yes,37355.0,124.0,273,0
279,Male,60,1,9.0,0,1-2 Year,Yes,2630.0,146.0,165,0
280,Female,24,1,28.0,1,< 1 Year,No,59919.0,152.0,173,0
281,Female,44,1,23.0,0,1-2 Year,Yes,29544.0,26.0,100,0
282,Male,39,1,28.0,0,1-2 Year,Yes,55055.0,26.0,189,1
283,Male,37,1,37.0,0,1-2 Year,Yes,23059.0,160.0,221,0
284,Female,48,1,48.0,0,1-2 Year,Yes,2630.0,124.0,130,0
285,Female,22,1,45.0,0,< 1 Year,Yes,35672.0,152.0,137,0
286,Female,46,1,47.0,1,1-2 Year,No,37051.0,124.0,250,0
287,Male,23,1,8.0,1,< 1 Year,No,54379.0,152.0,280,0
288,Male,22,1,13.0,0,< 1 Year,Yes,22773.0,152.0,49,0
289,Female,36,1,45.0,0,1-2 Year,Yes,32184.0,122.0,289,0
290,Male,24,1,15.0,1,< 1 Year,No,29296.0,152.0,168,0
291,Female,40,1,28.0,0,1-2 Year,Yes,42148.0,26.0,214,0
292,Male,23,1,11.0,0,< 1 Year,Yes,41450.0,152.0,83,0
293,Female,74,1,28.0,1,1-2 Year,No,55224.0,124.0,64,0
294,Female,23,1,28.0,1,< 1 Year,No,44021.0,152.0,233,0
295,Male,26,1,45.0,1,< 1 Year,No,26281.0,152.0,88,0
296,Female,21,1,6.0,1,< 1 Year,No,27043.0,160.0,298,0
297,Male,42,1,48.0,1,1-2 Year,No,2630.0,15.0,102,0
298,Male,47,1,28.0,1,1-2 Year,Yes,48127.0,26.0,193,0
299,Female,28,1,15.0,1,< 1 Year,No,38115.0,152.0,188,0
300,Female,33,1,28.0,0,1-2 Year,Yes,29253.0,124.0,246,1
301,Male,24,1,28.0,1,< 1 Year,No,58024.0,152.0,280,0
302,Female,67,1,39.0,0,1-2 Year,Yes,2630.0,157.0,49,0
303,Male,67,1,28.0,0,1-2 Year,Yes,26881.0,26.0,206,0
304,Female,35,1,12.0,0,1-2 Year,Yes,25639.0,124.0,40,1
305,Female,49,1,46.0,0,1-2 Year,Yes,2630.0,26.0,223,0
306,Male,48,1,0.0,1,1-2 Year,No,2630.0,7.0,46,0
307,Male,69,1,28.0,1,1-2 Year,No,32076.0,125.0,123,0
308,Female,22,1,28.0,1,< 1 Year,No,33952.0,152.0,293,0
309,Female,26,1,46.0,1,< 1 Year,No,23382.0,152.0,164,0
310,Female,23,1,15.0,1,< 1 Year,No,28544.0,152.0,144,0
311,Male,54,1,8.0,1,1-2 Year,No,32711.0,26.0,208,0
312,Male,64,1,8.0,0,1-2 Year,Yes,42396.0,124.0,269,1
313,Male,53,1,39.0,0,1-2 Year,Yes,2630.0,124.0,161,0
314,Female,51,1,28.0,0,1-2 Year,Yes,43861.0,26.0,49,0
315,Female,51,1,28.0,0,1-2 Year,Yes,45077.0,124.0,156,0
316,Female,22,1,40.0,0,< 1 Year,Yes,43017.0,152.0,47,0
317,Female,61,1,28.0,1,1-2 Year,No,24797.0,26.0,11,0
318,Female,41,1,26.0,0,1-2 Year,Yes,35972.0,22.0,99,0
319,Male,36,1,35.0,0,1-2 Year,Yes,2630.0,26.0,67,1
320,Female,21,1,30.0,0,< 1 Year,Yes,20202.0,152.0,99,0
321,Female,43,1,28.0,0,1-2 Year,Yes,42428.0,124.0,109,0
322,Female,25,1,45.0,1,< 1 Year,No,38681.0,152.0,117,0
323,Female,36,1,46.0,0,1-2 Year,Yes,30309.0,152.0,279,0
324,Male,22,1,50.0,1,< 1 Year,No,32226.0,152.0,143,0
325,Male,45,1,48.0,0,1-2 Year,Yes,2630.0,163.0,173,0
326,Male,42,1,28.0,0,1-2 Year,Yes,82148.0,26.0,230,0
327,Male,28,1,10.0,1,< 1 Year,No,33026.0,152.0,279,0
328,Male,24,1,18.0,0,< 1 Year,Yes,27102.0,152.0,41,1
329,Male,46,1,28.0,0,1-2 Year,Yes,42065.0,125.0,15,0
330,Male,45,1,4.0,1,1-2 Year,No,34978.0,26.0,147,0
331,Male,23,1,37.0,0,< 1 Year,Yes,34487.0,152.0,46,0
332,Male,43,1,8.0,0,1-2 Year,Yes,34896.0,26.0,177,0
333,Male,57,1,0.0,1,1-2 Year,No,2630.0,26.0,211,0
334,Male,55,1,46.0,1,1-2 Year,No,2630.0,156.0,119,0
335,Male,43,1,28.0,0,1-2 Year,Yes,43741.0,124.0,100,0
336,Female,21,1,8.0,0,1-2 Year,Yes,23073.0,156.0,291,0
337,Male,23,1,29.0,1,< 1 Year,No,32179.0,152.0,273,0
338,Female,25,1,28.0,1,< 1 Year,No,64836.0,152.0,114,0
339,Female,23,1,8.0,1,< 1 Year,No,36071.0,152.0,189,0
340,Male,23,1,41.0,0,< 1 Year,Yes,2630.0,156.0,247,0
341,Male,21,1,46.0,1,< 1 Year,No,43196.0,152.0,92,0
342,Male,48,1,35.0,0,1-2 Year,Yes,2630.0,26.0,102,0
343,Male,30,1,30.0,0,1-2 Year,Yes,33029.0,156.0,179,1
344,Male,69,1,28.0,0,> 2 Years,Yes,26139.0,26.0,35,0
345,Female,64,1,46.0,0,1-2 Year,Yes,30775.0,124.0,110,0
346,Female,26,1,35.0,1,< 1 Year,No,46675.0,152.0,137,0
347,Female,42,1,43.0,0,1-2 Year,Yes,2630.0,124.0,144,0
348,Male,32,1,37.0,1,< 1 Year,No,33200.0,152.0,270,0
349,Female,80,1,48.0,0,1-2 Year,Yes,2630.0,124.0,38,0
350,Male,23,1,45.0,0,< 1 Year,No,2630.0,151.0,242,0
351,Male,36,1,11.0,1,1-2 Year,No,32846.0,124.0,151,0
352,Male,32,1,0.0,1,< 1 Year,No,2630.0,152.0,156,0
353,Male,23,1,21.0,0,< 1 Year,Yes,26700.0,152.0,186,0
354,Female,55,1,22.0,0,1-2 Year,Yes,28613.0,26.0,248,0
355,Female,26,1,37.0,0,< 1 Year,Yes,40732.0,152.0,29,1
356,Male,45,1,28.0,0,> 2 Years,Yes,43829.0,124.0,264,0
357,Female,28,1,28.0,1,< 1 Year,No,33391.0,152.0,80,0
358,Male,41,1,8.0,0,1-2 Year,Yes,28777.0,124.0,210,1
359,Male,57,1,28.0,0,1-2 Year,Yes,50767.0,26.0,88,1
360,Male,61,1,11.0,0,1-2 Year,Yes,25423.0,26.0,192,0
361,Male,54,1,28.0,0,> 2 Years,Yes,43363.0,26.0,53,1
